year,region,gender,rank,name
2016,Česko,boy,165-517,Serchio
2016,Česko,girl,252-619,Natálie Anna
2016,Česko,boy,165-517,Vladimír Mladen
2016,Česko,girl,252-619,Rosalia
2016,Česko,boy,165-517,Simir
2016,Česko,girl,252-619,Valerie Anna
2016,Česko,boy,165-517,Matouš Jindra
2016,Česko,girl,252-619,Melánie Eva
2016,Česko,boy,165-517,Mykhailo
2016,Česko,girl,252-619,Vanessa Melanie
2016,Česko,boy,165-517,Luis Rafael
2016,Česko,girl,252-619,Rose
2016,Česko,boy,165-517,Skyler Matyáš
2016,Česko,girl,252-619,Veronica
2016,Česko,boy,165-517,Vojtěch Jan
2016,Česko,girl,252-619,Malua
2016,Česko,boy,165-517,Matyáš Josef
2016,Česko,girl,252-619,Ngoc Nhi
2016,Česko,boy,165-517,Vojtěch Pavel
2016,Česko,girl,252-619,Rozalie
2016,Česko,boy,165-517,Stefan Stefanov
2016,Česko,girl,252-619,Viktorie Anna
2016,Česko,boy,165-517,Yann
2016,Česko,girl,252-619,Melisa Fatima
2016,Česko,boy,165-517,Stefan Vlad
2016,Česko,girl,252-619,Violeta Natálie
2016,Česko,boy,165-517,Yubo
2016,Česko,girl,252-619,Rozálie Liliana
2016,Česko,boy,165-517,Stefano Orlando
2016,Česko,girl,252-619,Vivien Lurdes
2016,Česko,boy,165-517,Nik
2016,Česko,girl,252-619,Rozálie Nina
2016,Česko,boy,165-517,Sultan
2016,Česko,girl,252-619,Vlasta
2016,Česko,boy,165-517,Matyáš Jan
2016,Česko,girl,252-619,Rozálie Tereza
2016,Česko,boy,165-517,Zoltán
2016,Česko,girl,252-619,Nikoletta Anna
2016,Česko,boy,165-517,Sebastyan Costel
2016,Česko,girl,252-619,Malvína
2016,Česko,boy,165-517,Sem Johannes
2016,Česko,girl,252-619,Zlata
2016,Česko,boy,165-517,Jesper
2016,Česko,girl,252-619,Melissa Maria
2016,Česko,boy,165-517,Ivo
2016,Česko,girl,252-619,Zusana
2016,Česko,boy,165-517,Kristian Nikolas
2016,Česko,girl,252-619,Ruixue
2016,Česko,boy,165-517,Damián Zdeněk
2016,Česko,girl,252-619,Maryam
2016,Česko,boy,165-517,Jan Ivo
2016,Česko,girl,252-619,Ruslana
2016,Česko,boy,165-517,Damien
2016,Česko,girl,252-619,Světla
2016,Česko,boy,165-517,Julius
2016,Česko,girl,252-619,Růžena
2016,Česko,boy,165-517,Damien Alex
2016,Česko,girl,252-619,Svyatoslava
2016,Česko,boy,165-517,Leoš
2016,Česko,girl,252-619,Růžena Romana
2016,Česko,boy,165-517,An Huy
2016,Česko,girl,252-619,Miroslava
2016,Česko,boy,165-517,Jakub Jan
2016,Česko,girl,252-619,Meriem
2016,Česko,boy,165-517,Anas
2016,Česko,girl,252-619,Štefánie
2016,Česko,boy,165-517,Alexandr Maxim
2016,Česko,girl,252-619,Manon
2016,Česko,boy,165-517,Daniel Eduardo
2016,Česko,girl,252-619,Talia
2016,Česko,boy,165-517,Bohdan
2016,Česko,girl,252-619,Mia Isabell
2016,Česko,boy,165-517,Adolf
2016,Česko,girl,252-619,Tallinn Ali Abdul Hafidh
2016,Česko,boy,165-517,Khac Tuan Anh
2016,Česko,girl,252-619,Samantha
2016,Česko,boy,165-517,Daniyar
2016,Česko,girl,252-619,Tami
2016,Česko,boy,165-517,Kryštoš Matouš
2016,Česko,girl,252-619,Samira
2016,Česko,boy,165-517,Danny
2016,Česko,girl,252-619,Nadine
2016,Česko,boy,165-517,Bao An
2016,Česko,girl,252-619,Maralaa
2016,Česko,boy,165-517,Andreas Otakar
2016,Česko,girl,252-619,Nadrah
2016,Česko,boy,165-517,Jáchym Čeněk
2016,Česko,girl,252-619,Sandrine
2016,Česko,boy,165-517,Darek Václav
2016,Česko,girl,252-619,Namuun
2016,Česko,boy,165-517,Bastian
2016,Česko,girl,252-619,Lotta
2016,Česko,boy,165-517,Darius
2016,Česko,girl,252-619,Naomi
2016,Česko,boy,165-517,Jan Viliam
2016,Česko,girl,252-619,Sára Elisabeth
2016,Česko,boy,165-517,Darrel
2016,Česko,girl,252-619,Naomi Aneta
2016,Česko,boy,165-517,Jeremiáš
2016,Česko,girl,252-619,Sara Jana
2016,Česko,boy,165-517,Andrej
2016,Česko,girl,252-619,Thanh Thao
2016,Česko,boy,165-517,Alexandros
2016,Česko,girl,252-619,Sára Lilly
2016,Česko,boy,165-517,Demjan
2016,Česko,girl,252-619,Natalia
2016,Česko,boy,165-517,Josef Vincent
2016,Česko,girl,252-619,Michelle
